Model Type,Input Features,Test Data Accuracy Score,Hyperparameter Tuning Speed,
tensorflow.keras.models.Sequential (1-layer),Option 2: No error measurements,0.894,Slow,
tensorflow.keras.models.Sequential (2-layer),Option 1: Full,0.893,Slow,
tensorflow.keras.models.Sequential (1-layer),Option 1: Full,0.886,Slow,
sklearn.svm.SVC ,Option 1: Full,0.874,Medium,
sklearn.linear_model.LogisticRegression,Option 1: Full,0.847,Fast,
tensorflow.keras.models.Sequential (1-layer),Option 3: Assessed features of importance,0.814,Slow,
sklearn.svm.SVC ,Option 2: No error measurements,0.806,Medium,
sklearn.linear_model.LogisticRegression,Option 2: No error measurements,0.802,Fast,
sklearn.linear_model.LogisticRegression,Option 3: Assessed features of importance,0.739,Fast,
sklearn.svm.SVC ,Option 3: Assessed features of importance,0.714,Medium,
sklearn.linear_model.LinearRegression,Option 1: Full,0.475,Fast,
sklearn.linear_model.LinearRegression,Option 2: No error measurements,0.456,Fast,
sklearn.linear_model.LinearRegression,Option 3: Assessed features of importance,0.429,Fast,
